,distance_haversine,trip_direction,Fare,Additional Charges,work_day,month,hour,hour_temp,hour_wind,rain,metro_x,metro_y,pick_dist_dt,drop_dist_dt,pct_bach_x,median_income_x,sex_ratio_x,pct_non_white_x,pct_age_18_29_x,pct_no_car_x,pct_bach_y,median_income_y,sex_ratio_y,pct_non_white_y,median_age_y,pct_no_car_y,residential_den_x,empoloyment_den_x,network_den_x,dist_to_tran_x,walkability_x,residential_den_y,empoloyment_den_y,network_den_y,dist_to_tran_y,walkability_y
101301,14.237342445274624,-57.35603759855289,15.0,2.55,1,11,15,28.0,10.0,0,0,1,5.4037608069589576,9.667128003072397,68.3,110357,108.6,27.700000000000006,83.97755610972568,23.8,25.2,104167,102.6,16.599999999999994,30.7,26.9,-0.1988629755641298,4.882271301640165,3.7067640036325686,206.53,14.0,1.0135070976350031,0.4445617782460946,2.6331810518325804,237.8233333333333,11.696969696969699
583703,4.994970255211234,-179.4478300260849,10.0,2.55,1,11,21,18.0,8.0,0,0,0,9.819488618239667,13.569824190630708,6.5,59917,90.6,34.0,15.92488262910798,15.7,17.1,70234,122.3,22.40000000000001,33.8,16.3,-0.9004587814614681,-1.5432379771707645,1.2643470770747796,348.75272727272727,12.438271604938269,-2.1975982778158185,-1.8775724510652216,0.7396323660079179,464.6971428571428,9.011627906976743
1474985,6.686955426244585,11.43282148335092,10.0,2.55,1,12,23,49.0,11.0,2,0,0,15.190859864474938,12.2189586303513,17.0,71322,94.1,29.90000000000001,19.619793934116963,18.1,8.3,76017,110.3,21.3,36.3,8.6,-2.5476828768809594,-3.269954469595775,1.0214277080577103,524.9499999999998,6.14705882352941,-3.0070157398429176,-3.9489160659213973,1.371485443750425,257.0433333333333,10.222222222222221
1401336,2.6776233717278566,-61.57355870147954,5.0,0.0,1,2,19,32.0,9.0,1,0,1,3.9344199805669486,3.6283314543827685,13.3,35175,98.3,56.5,33.754512635379065,45.1,21.7,16953,85.5,66.1,44.2,58.0,-0.6005401805059282,-1.7665516461837318,1.8129729540788384,299.5725,9.955555555555557,1.9211943197816443,4.069096149348088,3.7617270795741202,178.37,15.833333333333336
1108973,6.528756660498991,-49.13143532734624,7.5,0.72,1,10,7,54.0,23.0,1,0,0,7.7565237601117865,1.5697556677504334,46.2,102902,101.8,53.2,43.22033898305085,53.7,17.8,102250,95.8,21.8,33.3,8.8,3.6614142887434418,5.769830923217111,3.7304424068966235,226.20333333333332,14.166666666666664,-1.9529899624822948,-1.392188356786668,0.873296635956536,168.98,11.133333333333333
1009150,10.959798455718133,-71.62724097962793,15.0,0.0,0,1,14,-5.0,10.0,0,0,0,7.7565237601117865,5.33782363356427,16.1,50982,101.4,37.6,19.20177383592018,26.5,17.8,102250,95.8,21.8,33.3,8.8,2.5956627647547865,1.6811257599992775,3.5481908270237006,242.29666666666665,16.333333333333332,-1.9529899624822948,-1.392188356786668,0.873296635956536,168.98,11.133333333333333
1178596,1.4789236612312513,-105.52936601060614,5.0,0.0,1,1,20,21.0,11.0,0,1,1,3.493850624827746,2.9272673264789657,33.6,141378,102.8,26.700000000000006,21.24214596423393,27.5,28.4,132794,133.8,23.3,33.6,13.0,-1.7079021796287719,-0.3038152159902173,1.358737693702266,301.0800000000001,9.666666666666666,1.1961485189875571,2.1219441092497044,3.2224922624741112,654.738,15.100000000000005
879980,8.397806705028636,-176.13203174910294,5.0,2.55,1,2,23,26.0,18.0,0,0,0,12.214340738436649,16.355903557625336,16.6,69736,85.3,25.700000000000006,12.357286769644055,10.7,25.5,95958,93.1,26.8,39.6,21.6,-2.2698796572821665,-2.3703680076934517,1.1876047110202634,291.4504545454545,10.687943262411348,-1.9749089925052443,-1.9982409483976449,1.0244125076153845,412.44093023255823,8.763480392156861
1380373,9.152257981437618,121.08567864124164,10.0,2.55,1,1,7,23.0,13.0,0,1,0,8.338057748253348,0.9141164186559159,34.9,94667,132.9,39.9,46.15070729053319,50.0,39.3,59953,84.0,81.0,36.2,30.6,2.7945446981159607,7.107328961307633,3.875154146401044,123.385,18.166666666666668,2.3309418292547925,0.1946251293637751,3.082435300111235,286.33,14.0
901914,15.642037085850939,-84.54802171626255,15.0,0.0,1,6,9,46.0,9.0,0,1,1,1.7716156861167465,16.475426609829718,3.0,30806,68.6,99.7,21.32604237867396,33.1,35.3,116377,88.6,43.2,23.5,15.8,1.810686420967432,-2.06051458994046,3.2959048053835374,392.945,12.833333333333336,1.034815867793636,3.1359811368725983,3.5687312719383617,146.185,18.83333333333333
